Compound name (unique),Compound name(synonyms),HMDB,KEGG,HMT ID,InChIKey
AMP,AMP;adenosine 5'-monophosphate;adenosine 5-monophosphate;adenosine 5'-monophosphate (AMP);Adenosine monophosphate,HMDB0000045,C00020,M00076,
2-aminoisobutyrate,2-aminoisobutyrate;2-Aminoisobutyric acid;Aminoisobutyric acid,HMDB0001906,C03665,M00169,
CMP,CMP;cytidine 5'-monophosphate;Cytidine-5'-monophosphate;Cytidylic acid;Cytidine monophosphate;cytidine-monophosphate;5'-CMP;cytidine 5'-monophosphate;cytidine 5'-monophosphate (5'-CMP),HMDB0000095,C00055,M00073,
CDP,"CDP;cytidine diphosphate;Cytidine 5'-diphosphate;Cytidine diphosphate;cytidine-5'-diphosphate;Cytidine 5'-(trihydrogen diphosphate);Cytidine coenzyme;Cytidine 5'-pyrophosphate;5'-CDP;Cytidine 5'-diphosphoric acid;Cytidine 5'-pyrophosphoric acid;cytidine-diphosphate;CYTIDINE, 5'-(TRIHYDROGEN PYROPHOSPHATE);Cytidine pyrophosphate;Cytidine 5'-diphosphate disodium;[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate;((2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1(2H)-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyl trihydrogen diphosphate;Cytidine 5 -diphosphate;[3h]cytidine diphosphate;Cytidine 5''-pyrophosphate;Cytidine 5''-diphosphoric acid;5''-CDP;Cytidine5'-(trihydrogen diphosphate);cytidine 5''-(trihydrogen diphosphate);Cytidine 5'-(trihydrogen pyrophosphate);cytidine, 5'-(trihydrogen diphosphate);Cytidine, 5''-(trihydrogen pyrophosphate);CYTIDINE 5-DIPHOSPHATE, PERIODATEOXIDIZ ED SODIUM;689C62C2-5E68-4D32-9718-800937EE9942;[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]phosphonic acid;[[(2R,3S,4R,5R)-5-(4-Amino-2-oxo-pyrimidin-1-yl)-3,4-dihydroxy-oxolan-2-yl]methoxy-hydroxy-phosphoryl]oxyphosphonic acid",HMDB0001546,C00112,M00081,
Cytidine,Cytidine,HMDB0000089,C00475,M00040,
CTP,CTP;cytidine triphosphate;cytidine 5'-triphosphate;Cytidine 3'-triphosphate;5'-CTP;Deoxycytosine triphosphate,HMDB0000082,C00063,M00086,
N-acetylmethionine,N-acetylmethionine;N-Acetyl-L-methionine,HMDB0011745,C02712,M00180,
glycerophosphorylcholine (GPC),glycerophosphorylcholine (GPC),NA,NA,M99186,
Mannitol,Mannitol,HMDB0000765,C00392,M99113,
L-Ornithine,L-Ornithine;ornithine;ornithine ,HMDB0000214,C00077,M00019,
L-Asparagine,"L-asparagine;asparagine;D-Asparagine;70-47-3;(S)-asparagine;Aspartamic acid;agedoite;altheine;H-Asn-OH;Crystal VI;Asparamide;asparagine acid;(S)-2,4-diamino-4-oxobutanoic acid;(-)-asparagine;L-Aspartamine;alpha-aminosuccinamic acid;Asparagine, L-;L-2,4-diamino-4-oxobutanoic acid;L-b-Asparagine;aspartic acid beta-amide;Asparagine (VAN);Aspartic acid amide;2-Aminosuccinamic acid;(2S)-2-amino-3-carbamoylpropanoic acid;ASN;L-beta-Asparagine (VAN);2-aminosuccinamic acid, L-;butanoic acid, 2,4-diamino-4-oxo-, (S)-;L-asparatamine;a-Aminosuccinamic acid;Aspartic acid b-amide;L-Asparagine anhydrous;H-Asn-OH H;L-2-aminosuccinamic acid;MFCD00064401;NSC 82391;L-aspartic acid beta-amide;(2S)-2,4-diamino-4-oxobutanoic acid;2,4-diamino-4-oxobutanoic acid, (S)-;CHEBI:17196;DCXYFEDJOCDNAF-REOHCLBHSA-N;(S)-2-amino-3-carbamoylpropanoic acid;L-Asparagine, 99%;L-beta-asparagine;L-Asn;L-(+)-Asparagine;L-.beta.-Asparagine;UNII-7NG0A2TUHQ;aspargine;Aspartamate;L-Asparagin;HSDB 7425;a-Aminosuccinamate;2-Aminosuccinamate;EINECS 200-735-9;Asn-OH;alpha-Aminosuccinamate;4-imino-L-homoserine;alpha Amminosuccinamate;L-Asparagine (9CI);PubChem15166;Aspartic acid beta amide;N-Lauryl-N-methyltaurine;7NG0A2TUHQ;ASN NH3+ COOH;alpha Amminosuccinamic acid;Asparagine, L- (8CI);bmse000030;bmse000912;AC1L1M5L;Aspartic acid .beta. amide;L-alpha-Aminosuccinamic Acid;UNII-5Z33R5TKO7;.alpha.-Aminosuccinamic acid;L-(+)-Asparagine anhydrous;KSC222G3N;CHEMBL58832;ASPARAGINE (L) HYDRATE;5Z33R5TKO7;AC1Q4U73;AC1Q4U74;GTPL4533;SCHEMBL3126352;L-2,4-Diamino-4-oxobutanoate;US9138393, L-Asparigine;US9144538, L-Asparigine;CTK1C2336;KS-00000KPN;BDBM181137;Pharmakon1600-01301002;(S)-2,4-Diamino-4-oxobutanoate;L-Asparagine, >=98% (HPLC);HY-N0667;ZINC1532556;B2,4-(S)-diamino-4-oxo-utanoate;NSC760099;AKOS006239067;AC-4657;AM81554;DB00174;MCULE-1868046141;NSC-760099;RP19986;RTR-037552;B2,4-(S)-diamino-4-oxo-utanoic acid;(2S)-2,4-diamino-4-oxo-butanoic acid;NCGC00344576-01;AJ-26783;AN-11740;BP-23453;K189;SC-09349;AB0014082;AB1002642;DB-048007;TR-037552;A0542;CS-0009702;FT-0627706;ST24035780;L-Asparagine, Vetec(TM) reagent grade, 98%;C-4711;C00152;47600-EP2270018A1;47600-EP2298780A1;47600-EP2305689A1;47600-EP2311811A1;47600-EP2374788A1;064A401;F1905-7151;Z1270387291;(S)-2-Aminosuccinic acid 4-amide, L-Aspartic acid 4-amide;(S)-2-Aminosuccinic acid 4-amide; L-Aspartic acid 4-amide;3C28F6A9-E581-4255-ACCF-F75597AB288F;L-Asparagine, certified reference material, TraceCERT(R);UNII-832C8OV84S component DCXYFEDJOCDNAF-REOHCLBHSA-N;Asparagine anhydrous, United States Pharmacopeia (USP) Reference Standard;L-Asparagine, BioReagent, suitable for cell culture, suitable for insect cell culture;5794-13-8;l-Asparagine monohydrate;L(+)-Asparagine monohydrate;Asparagine monohydrate;l-asparagine hydrate;L-Asparagine, monohydrate;H-Asn-OH.H2O;(S)-2,4-diamino-4-oxobutanoic acid hydrate;L-Aspartic acid 4-amide;Asparagine [NF];asparagine;MFCD00151038;UNII-2PD79VF521;L-(+)-Asparagine Monohydrate;(S)-(+)-2-Aminosuccinamic acid;(S)-2-Aminosuccinic acid 4-amide;L(+)-Asparaginemonohydrate;Asparagine (NF);2PD79VF521;A-9030;C4H8N2O3.H2O;Aminoplasmal;Normofundin;Nutrifundin;Thomaeamin;L(+)-Asparagine monohydrate, 99%;L-Asparagine  Monohydrate;L-Asparagin-1-wasser;Asparagine, monohydrate, L-;L(+)-Asparagine monohydrate, specified according the requirements of Ph.Eur.;AC1Q5IYB;H-Asn-OH?2O;AC1L55GR;SCHEMBL50255;KSC491M6D;SCHEMBL6659104;CTK3J1661;BIA0725;RBMGJIZCEWRQES-DKWTVANSSA-N;ZX-AFC000750;BCP26438;EBD30672;KS-00000VX6;ZX-AT029628;ANW-32834;CA0152;GM7827;L-2-Aminosuccinamic acid monohydrate;AKOS015855256;(R)-4-Hydroxyphenylglycine ethyl ester;AM81555;RTC-064077;AK-44004;AS-11745;L-Asparagine monohydrate, p.a., 98.5%;SC-09348;L-Asparagine monohydrate, >=99% (TLC);AB0010663;AB1006927;AX8021586;TC-064077;FT-0627707;ST24020788;(2S)-2,4-diamino-4-oxobutanoic acid hydrate;(2S)-2,4-diamino-4-oxobutanoic acid;hydrate;A14940;D09738;L-Asparagine monohydrate, Cell Culture Reagent;(S)-2,4-DIAMINO-4-OXOBUTANOIC ACID H2O;794A138;Asparagine Monohydrate (L-Asparagine Monohydrate);I14-2735;L-Asparagine hydrate; L-2-Aminosuccinamic acid hydrate;L-Asparagine monohydrate, suitable for cell culture, BioReagent;Asparagine monohydrate, European Pharmacopoeia (EP) Reference Standard;Asparagine monohydrate, United States Pharmacopeia (USP) Reference Standard;(S)-(+)-2-Aminosuccinamic acid; (S)-2-Aminosuccinic acid 4-amide; L-Aspartic acid 4-amide;L-Asparagine monohydrate, from non-animal source, BioReagent, suitable for cell culture, >=98.0%;L-Asparagine monohydrate, PharmaGrade, meets FCC testing specifications, Manufactured under appropriate controls for use as a raw material in pharma or biopharmaceutical production., suitable for cell culture;asparagine;L-asparatamine;L-beta-asparagine;(2S)-4-amino-2-ammonio-4-oxobutanoate;L-Asn;(2S)-2-azaniumyl-4-azanyl-4-oxidanylidene-butanoate;L-asparagine zwitterion;CHEBI:58048;(2S)-2-ammonio-3-carbamoylpropanoate;(2S)-2-azaniumyl-3-carbamoylpropanoate;CJ-24207;(2S)-4-amino-2-azaniumyl-4-oxobutanoate;A820795;A836895",HMDB0000168,C00152,M00018,
linoleoylcarnitine,linoleoylcarnitine,NA,NA,M99187,
His,"His;histidine;L-Histidine;71-00-1;H-His-OH;glyoxaline-5-alanine;Anti-rheuma;L-(-)-Histidine;Istidina;S-Histidine;(L)-Histidine;Histidine (VAN);histidina;(S)-4-(2-Amino-2-carboxyethyl)imidazole;Histidinum;(2S)-2-amino-3-(1H-imidazol-4-yl)propanoic acid;L-Histidin;(S)-alpha-amino-1H-imidazole-4-propanoic acid;HISTIDINE, L-;Histidine [USAN:INN];Histidinum [INN-Latin];(S)-Histidine;Histidina [INN-Spanish];L-beta-(4-Imidazolyl)alanin;4-(2-Amino-2-carboxyethyl)imidazole;1H-Imidazole-4-alanine, (S)-;L-Hisidine;(S)-2-Amino-3-(4-imidazolyl)propionsaeure;his;L-beta-(4-Imidazolyl)-alpha-alanin;(S)-2-Amino-3-(4-imidazolyl)propionic acid;MFCD00064315;(S)-alpha-Amino-1H-imidazole-4-propionic acid;L-His;L-Alanine, 3-(1H-imidazol-4-yl)-;FEMA No. 3694;UNII-4QD397987E;AI3-26558;HSDB 1810;alpha-Amino-4(or 5)-imidazolepropionic acid;EINECS 200-745-3;7006-35-1;NSC 137773;alpha-Amino-1H-imidazole-4-propionic acid, (S)-;1H-Imidazole-4-propanoic acid, alpha-amino-, (S)-;(S)-a-Amino-1H-imidazole-4-propanoic acid;CHEBI:15971;HNDVDQJCIGZPNO-YFKPBYRVSA-N;4QD397987E;L-Histidine, 98%;Polyhistidine;L-2-Amino-3-(4-imidazolyl)propionic acid;Histidine (L-Histidine);(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid;Histidine, monohydrochloride;Poly(L-histidine);L-hystidine;1hsl;1lag;[3H]histidine;Histidine,(S);[3H]-histidine;N-tele-L-histidino;zlchem 242;(2S)-2-amino-3-(1H-imidazol-4-yl)propanoic acid hydrochloride;L-His-OH;Histidine (USP/INN);L-Histidine (JP17);L-Histidine, homopolymer;Lopac-H-8125;bmse000039;bmse000976;bmse001015;L-Histidine (H-His-OH);AC1Q4U7X;AC1Q4U7Y;amino-4-imidazoleproprionate;SCHEMBL3259;Lopac0_000566;US9138393, Histidine;US9144538, Histidine;(S)1H-Imidazole-4-alanine;KSC353E4P;CHEMBL17962;(S)-1H-Imidazole-4-alanine;AC1L1M66;BDBM7953;GTPL3310;GTPL4670;Imidazole C-4(5) deriv. 5;amino-4-imidazoleproprionic acid;DTXSID9023126;amino-1H-imidazole-4-propanoate;CTK2F3247;KS-00000KPS;L-Histidine, p.a., 98.5%;ZLC0051;BDBM181118;L-Histidine, Cell Culture Reagent;3-(1H-imidazol-4-yl)-L-Alanine;HY-N0832;ZINC6661227;amino-1H-imidazole-4-propanoic acid;ANW-35982;AKOS015854051;AKOS026676613;AM81801;CCG-204656;CS-7781;DB00117;LS-2343;MCULE-4083000888;RP25157;RTC-066769;(S)-a-Amino-1H-imidazole-4-propanoate;NCGC00015518-01;NCGC00162189-01;NCGC00162189-02;26062-48-6;AJ-56527;AS-14171;(S)-alpha-Amino-1H-imidazole-4-propanoate;(S)-alpha-Amino-1H-imidazole-4-propionate;AB1002811;L-Histidine, BioUltra, >=99.5% (NT);ST2419444;TC-066769;FT-0627842;FT-0655525;L-Histidine, SAJ special grade, >=98.5%;(S)-2-Amino-3-(imidazol-4-yl)propanoic acid;C00135;D00032;H-2310;L-Histidine, ReagentPlus(R), >=99% (TLC);M02982;(2S)-2-amino-3-(imidazol-4-yl)propanoic acid;88842-EP2289892A1;88842-EP2305825A1;L-Histidine, Vetec(TM) reagent grade, >=99%;(S)-2-amino-3-(1H-imidazol-4-yl)propanoic acid;064H315;A836759;(2S)-2-azanyl-3-(1H-imidazol-5-yl)propanoic acid;B81AEDB0-EACA-4296-9BAB-52D60F137FFB;I14-13396;(S)-2-Amino-3-(4-imidazolyl)propionic acid; H-His-OH;1H-Imidazole-4-propanoic acid, .alpha.-amino-, (S)-;F8881-8926;F8889-0575;L-Histidine, certified reference material, TraceCERT(R);Z955123622;Histidine, European Pharmacopoeia (EP) Reference Standard;UNII-N7U7BXP2OI component HNDVDQJCIGZPNO-YFKPBYRVSA-N;UNII-QU6SDF3Q03 component HNDVDQJCIGZPNO-YFKPBYRVSA-N;L-Histidine, United States Pharmacopeia (USP) Reference Standard;L-Histidine, Pharmaceutical Secondary Standard; Certified Reference Material;L-Histidine, cell culture tested, meets EP, USP testing specifications, from non-animal source;L-Histidine, PharmaGrade, Ajinomoto, EP, USP, manufactured under appropriate GMP controls for Pharma or Biopharmaceutical production, suitable for cell culture",HMDB0000177,C00135,M00031,
Val,"Val;valine;72-18-4;(S)-Valine;(S)-2-Amino-3-methylbutanoic acid;H-Val-OH;2-Amino-3-methylbutyric acid;(2S)-2-amino-3-methylbutanoic acid;(S)-2-Amino-3-methylbutyric acid;L-alpha-Amino-beta-methylbutyric acid;Valinum [Latin];Valina [Spanish];Valine (VAN);2-Amino-3-methylbutanoic acid;Butanoic acid, 2-amino-3-methyl-;Valine [USAN:INN];VALINE, L-;L(+)-alpha-Aminoisovaleric acid;(S)-alpha-Amino-beta-methylbutyric acid;Butanoic acid, 2-amino-3-methyl-, (S)-;2-Amino-3-methylbutyric acid, (S)-;2-Amino-3-methylbutanoic acid, (S)-;L-2-Aminoisovaleric Acid;L-valin;UNII-HG18B9YRS7;MFCD00064220;NSC 76038;2-Amino-3-methylbutanoic acid (VAN);L-2-Amino-3-methylbutanoic acid;l-(+)-alpha-Aminoisovaleric acid;L-Valine, 99%;EINECS 200-773-6;valina;HG18B9YRS7;L-(+)-a-Aminoisovaleric acid;(S)-alpha-Aminoisovaleric acid;L-a-Amino-b-methylbutyric acid;7004/3/7;CHEBI:16414;(S)-a-Amino-b-methylbutyric acid;KZSNJWFQEVHDMF-BYPYZUCNSA-N;Valine (L-Valine);L-Val;val;Valinum;2-aminoisovaleric acid;alpha-aminoisovaleric acid;Polyvaline;Racemic valine;L-(+)-.alpha.-Aminoisovaleric acid;HSDB 7800;3h-l-valine;L-Valine;;(L)-valine;Poly(L-val);L-Valine, FCC;Valine (USP);(+)-valine;L-Valine,(S);L-Valine, homopolymer;L-Valine, USP Grade;PubChem23325;1t4s;L-Valine (JP17);L-VAL-OH;2-Amino-3-methylbutyrate;L-(+)-a-Aminoisovalerate;L-a-Amino-b-methylbutyrate;AC1Q1NR1;SCHEMBL8516;(S)-A-Aminoisovaleric acid;H-Val-2-Chlorotrityl Resin;L-alpha-Aminoisovaleric acid;(S)-?-Aminoisovaleric acid;2-Aminoisovaleric acid,(S);(S)-a-Amino-b-methylbutyrate;L-(+)-alpha-Aminoisovalerate;L-iso-C3H7CH(NH2)COOH;(R)-alpha-Aminoisovaleric acid;AC1L1M73;GTPL4794;(S)-2-Amino-3-methylbutyrate;(S)-2-Amino-3-methylbutanoate;L-Valine, Cell Culture Reagent;CTK2H7660;KS-00000KPZ;L-alpha-Amino-beta-methylbutyrate;(S)-2-amino-3-methyl-Butanoate;Pharmakon1600-01301009;ZINC895099;HY-N0717;(S)-alpha-Amino-beta-methylbutyrate;(S)-2-amino-3-methyl-butyric acid;ANW-36167;NSC760111;(S)-2-amino-3-methyl-Butanoic acid;L-Valine, 98.5-101.5%;AKOS015841564;(2S)-2-amino-3-methyl-butanoic acid;L-Valine, 99%, natural, FCC, FG;LS-2345;L-Valine, BioUltra, >=99.5% (NT);L-Valine, SAJ special grade, >=98.5%;L-Valine, reagent grade, >=98% (HPLC);L-Valine, Vetec(TM) reagent grade, >=98%;(S)-(+)-2-AMINO-3-METHYLBUTYRIC ACID;064V220;192321-EP2272829A2;Q-100919;L-Valine, certified reference material, TraceCERT(R);F8889-8698;Valine, European Pharmacopoeia (EP) Reference Standard;Z1250208665;1B39571B-0AE8-4A9A-AE80-4B898D11A981;UNII-4CA13A832H component KZSNJWFQEVHDMF-BYPYZUCNSA-N;UNII-N7U7BXP2OI component KZSNJWFQEVHDMF-BYPYZUCNSA-N;(S)-|A-Aminoisovaleric acid; L-2-Amino-3-methylbutanoic acid;L-Valine, United States Pharmacopeia (USP) Reference Standard;L-Valine, Pharmaceutical Secondary Standard; Certified Reference Material;InChI=1/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s;L-Valine, from non-animal source, meets EP, JP, USP testing specifications, suitable for cell culture, 98.5-101.0%;L-Valine, PharmaGrade, Ajinomoto, EP, JP, USP, manufactured under appropriate GMP controls for Pharma or Biopharmaceutical production, suitable for cell culture;D-Valine;640-68-6;H-D-Val-OH;(R)-Valine;Valine, D-;D-2-Aminoisovaleric Acid;D-valin;(R)-2-Amino-3-methylbutanoic acid;(2R)-2-amino-3-methylbutanoic acid;NSC 20654;D-Val;KZSNJWFQEVHDMF-SCSAIBSYSA-N;Y14I1443UR;(R)-2-Amino-3-methylbutyric acid;NCGC00159470-02;D-2-Amino-3-methylbutanoic acid;D-Valine, 98+%;DVA;D-2-amino-3-methylbutyric acid;D valine;R-Valine;zlchem 296;PubChem11138;AC1L2GEU;AC1Q1NPT;D-Valine, >=98%;AC1Q5R0A;D-alpha-Aminoisovaleric acid;DSSTox_CID_26064;DSSTox_RID_81315;DSSTox_GSID_46064;SCHEMBL43678;KSC352S5F;2-Amino-3-methyl-butyric acid;DTXSID0046064;CTK2F2952;D-|A- degrees +/->>uOiIiEa;val;(2R)-2-amino-3-methylbutanoicacid;Tox21_111694;(2R)-2-amino-3-methyl-butanoic acid;D-Valine, Vetec(TM) reagent grade, 98%;D-Valine, suitable for cell culture, BioReagent;9040E22A-FFB5-4A57-A5DC-9F7B09E64F07;UNII-4CA13A832H component KZSNJWFQEVHDMF-SCSAIBSYSA-N;(R)-|A-Aminoisovaleric acid; D-2-Amino-3-methylbutanoic acid;D-2- degrees +/->>u-3-(1/4)x>>u paragraph sign inverted exclamation markEa;InChI=1/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m1/s;DL-Valine;2-Amino-3-methylbutanoic acid;H-DL-Val-OH;Valine, DL-;valin;DL-2-Amino-3-methylbutanoic acid;NSC 9755;MFCD00004267;2-Amino-3-methylbutanoic acid, DL-;DL-2-Aminoisovaleric Acid;valina;DL-.alpha.-Aminoisovaleric acid;CHEBI:27266;DL-2-Amino-3-methylbutyric acid;KZSNJWFQEVHDMF-UHFFFAOYSA-N;NSC76038;2-aminoisovaleric acid;25609-85-2;DL-Valine, 98%, extra pure;L -2-Amino-3-methylbutanoic acid;DL -2-Amino-3-methylbutanoic acid;DL-Valine, 99+%, for biochemistry;2-Aminoisovaleric acid, DL-;laevo-valine;Hval;FEMA No. 3444;CCRIS 8604;L-(+)-.alpha.-Aminoisovaleric acid;alpha-Aminoisovaleric acid, DL-;(dl)-valine;dextro,laevo-valine;(RS)-valine;EINECS 208-220-0;2-Amino-3-methylbutyric acid, DL-;DL-Val;POLY-L-VALINE;ACMC-1BIBV;D,L-VALINE;AI3-18308;AC1L1AWQ;ACMC-209nk4;ACMC-209om1;DL-Valine, >=97%;SCHEMBL8515;VALINE, (L);WLN: QVYZY1&1;DL-alpha-Aminoisovaleric acid;(+/-)-a-Aminoisovaleric acid;AC1Q1O16;2-amino-3-methyl-butanoic acid;CTK1H0802;NSC9755;(+/-)-alpha-Aminoisovaleric acid;DL-Valine, >=97% (TLC);D -2-Amino-3-methylbutanoic acid;val;2-Amino-3-methylbutanoic acid (DL-valine);DL-Valine, Vetec(TM) reagent grade, 99%;MFCD00064219 (98%);C16436;DL-Valine, ReagentPlus(R), >=99.0% (NT)",HMDB0000883,C00183,M00010,
Leu-GLN,Leu-Gln;leucylglutamine;Leu-GLN,HMDB0028927,NA,M02460,
