,CTD_MYC vs CTD_WT,HFD_WT vs CTD_WT,HFD_MYC vs CTD_WT,HFD_WT vs CTD_MYC,HFD_MYC vs CTD_MYC,HFD_MYC vs HFD_WT
N-acetyl-beta-alanine,2.109367507,1.319736772,0.457892274,0.625655211,1.437964963,2.298334511
N-acetyl-glucosamine 1-phosphate,0.680834307,1.167465183,0.681953281,1.71475669,1.360434179,0.793368638
N-acetylalanine,1.804316419,1.274670519,0.272214418,0.706456199,1.588623625,2.248722041
N-acetylaspartate (NAA),0.87382601,0.94810525,0.334437917,1.08500461,1.508298755,1.390131195
N-acetylcysteine,1.249882209,0.685662458,0.370933482,0.548581661,1.248477995,2.275828895
N-acetylglucosamine 6-phosphate,1.020738292,1.252814632,0.569538799,1.227361256,1.797322509,1.464379374
N-acetylglucosamine/N-acetylgalactosamine,7.701442578,1.42827098,0.469317697,0.185454993,0.518879354,2.79787212
N-acetylglutamate,2.511555357,0.71757815,0.317614745,0.285710664,1.256508403,4.397835152
N-acetylglutamine,1.354687822,0.393628811,0.345494898,0.290567911,0.347652415,1.19645839
N-acetylhistidine,0.788044733,0.42965947,0.584346205,0.545222184,0.284978301,0.522682879
N-acetylmethionine,1.731520908,1.019106889,0.500127971,0.5885617,1.437143998,2.441789872
N-acetylneuraminate,0.317799694,1.057274545,0.190579742,3.326858286,1.570067383,0.471936959
N-acetylphenylalanine,1.32790905,1.098510923,0.535144937,0.827248615,1.347037099,1.628334064
N-acetylputrescine,1.175709121,0.592377038,0.173830798,0.503846595,0.51964124,1.031348121
N-acetylserine,2.632904176,1.214689534,0.189421526,0.461349693,1.557145435,3.375195557
N-acetyltaurine,0.96096751,1.293995192,0.493290158,1.34655457,1.106896018,0.822020914
N-acetylthreonine,1.792902096,0.966041653,0.231417636,0.538814504,1.200893826,2.228770417
N-acetyltyrosine,1.754829833,1.197776031,0.39933123,0.682559647,1.321748036,1.936457923
N-carbamoylaspartate,N.A.,0.20963613,0.152080774,N.A.,#DIV/0!,#DIV/0!
N-delta-acetylornithine,0.464672365,0.669814815,0.349227882,1.441477621,1.749386879,1.213606686
N-formylmethionine,1.249318402,0.34007486,0.332836499,0.272208317,0.34657921,1.273213153
N-glycolylneuraminate,0.81056536,1.029523794,0.18585758,1.27013051,1.381310022,1.087533928
N-palmitoyltaurine,0.946503374,1.28091304,0.852268288,1.35331059,1.414973722,1.045564657
N1-Methyl-2-pyridone-5-carboxamide,1.35716329,1.445114815,0.646292492,1.064805411,1.347730278,1.265705699
N1-methyladenosine,1.428203618,0.723113177,0.249909417,0.506309582,1.472286727,2.907878459
N1-methylguanosine,2.696744445,0.712604842,0.181604508,0.264246337,1.154270216,4.368159759
"N2,N2-dimethylguanosine",2.361158433,0.442930153,N.A.,0.187590188,1.371257215,7.309855769
N2-acetyllysine,1.076467841,0.600671323,0.228589706,0.558002106,0.857717636,1.537122578
N4-acetylcytidine,1.608152314,0.488256699,0.064192636,0.303613467,0.85158351,2.804827863
N6-acetyllysine,2.048534681,1.137227105,0.25399349,0.555141739,1.936774161,3.488792185
N6-carbamoylthreonyladenosine,5.292780701,0.922312896,0.287310625,0.174258664,0.895384615,5.138250189
N6-succinyladenosine,0.582602608,0.634633411,0.132757855,1.089307536,2.255580448,2.070655324
nicotinamide,1.094143699,1.036010663,0.169541207,0.946868921,1.494154402,1.577994978
nicotinamide adenine dinucleotide (NAD+),0.800546713,0.991188616,0.373949045,1.238139636,1.699791732,1.372859476
nicotinamide adenine dinucleotide reduced (NADH),0.503018589,0.954082026,0.464147222,1.896713256,2.356612525,1.242471691
nicotinamide ribonucleotide (NMN),0.630549045,0.936403559,0.444387733,1.485060624,1.81892321,1.224814113
nicotinamide riboside,0.429906916,0.85983385,0.239291374,2.000046564,1.592009685,0.795986311
O-methyl tyrosine,1.161520821,0.614620913,0.250892007,0.529151869,1.765460784,3.336397142
O-sulfo-L-tyrosine,1.782599975,0.479187665,0.15233801,0.268813907,0.669393381,2.490173919
octanoylcarnitine,0.895161163,1.175469103,0.246404281,1.313136843,1.233598813,0.939428986
oleamide,0.171488994,0.510885166,0.285774973,2.979113432,1.363552198,0.457704021
oleate/vaccenate (18:1),2.96255846,2.179746425,1.612305174,0.735764865,1.848030806,2.511713857
oleoylcarnitine,1.311254197,4.005291343,5.184083744,3.054549874,2.29464387,0.751221609
ophthalmate,0.713180293,0.900308987,0.481649252,1.262386238,1.530657268,1.212511054
ornithine,3.35817895,1.066093465,0.321873692,0.317461779,1.331386996,4.193849724
orotate,0.265344064,0.861967096,0.466532112,3.248488339,1.114670314,0.343135082
orotidine,0.367032807,1.212691233,0.294089301,3.304040433,1.135495045,0.343668629
oxalate (ethanedioate),1.187994948,2.175604964,2.043169926,1.831325098,1.568144998,0.856289798
oxaloacetate,1.31397867,0.926797279,0.192267323,0.705336624,0.962905934,1.365172175
p-cresol sulfate,1.313280989,0.81132897,0.416054925,0.617787797,0.386754191,0.626030803
p-cresol-glucuronide,1.779533579,0.991963032,1.160212355,0.557428668,0.239416917,0.429502339
palmitate (16:0),1.564281296,1.564233716,0.49075427,0.999969583,1.361504418,1.361545832
palmitic amide,0.897729255,1.261212637,0.560476601,1.404891988,0.932529432,0.663773045
palmitoleate (16:1n7),2.053484243,1.123990235,0.303942328,0.547357614,1.04656868,1.912038225
palmitoyl ethanolamide,1.077075733,1.445537234,0.616131129,1.34209433,1.931853899,1.439432279
palmitoyl sphingomyelin (d18:1/16:0),1.15991185,0.972573375,0.174232443,0.838489041,1.326165432,1.581613315
palmitoylcarnitine,0.94598757,2.475113696,3.016667111,2.616433633,1.720858073,0.657711341
pantothenate,1.06369004,1.15845844,0.245577331,1.089093999,1.363024161,1.251521138
phenol sulfate,0.942718929,0.266899619,0.13808899,0.283116856,0.332407541,1.174100142
phenylacetylglycine,1.427914971,0.431551334,0.3595709,0.302224812,0.396006487,1.310304351
phenylalanine,1.858798384,1.190795845,0.151629335,0.640626684,1.776114844,2.772464662
phosphate,0.860966479,0.913595372,0.115211536,1.06112769,1.20860096,1.138977874
phosphoethanolamine,1.06812005,1.008871719,0.118786066,0.94453027,1.492448338,1.580095826
pipecolate,1.09912531,0.953281486,0.223406915,0.867309193,1.106407167,1.275677896
pro-hydroxy-pro,1.586294928,0.864382488,0.417902459,0.544906545,0.754658648,1.384932252
proline,1.593020476,1.118795315,0.179071227,0.702310693,1.643580574,2.340247116
prolylglycine,1.968170485,0.887564282,0.192750114,0.450959045,1.436429858,3.185277851
propionylcarnitine,0.701489647,1.615268881,0.188461415,2.302626829,1.437493364,0.62428412
propionylglycine,0.94379423,1.287963845,0.427449178,1.364665946,1.010414163,0.740411356
prostaglandin E2,N.A.,2.02989361,1.220389656,N.A.,N.A.,0.263022508
pseudouridine,1.325819153,0.667434203,0.225684468,0.503412703,1.198405669,2.38056303
pterin,1.344490703,1.152727695,0.299783213,0.857371265,0.855412174,0.997715003
putrescine,3.518027352,0.857480315,0.323844563,0.243738956,0.580492402,2.381615195
pyridoxal,1.16339003,0.925815478,0.267445788,0.795791139,1.137943038,1.429951883
pyridoxate,1.024965574,0.629003702,0.270344178,0.61368276,0.515380455,0.839815763
pyruvate,1.277580142,1.096999881,0.430480503,0.858654456,1.636232848,1.905577775
ribitol,1.017900382,1.265337527,0.129212268,1.243085816,1.170053357,0.941249061
riboflavin (Vitamin B2),1.066538477,1.044025157,0.250832208,0.978891226,1.513239934,1.545871384
ribonate,0.861764746,1.11327075,0.26091559,1.291849956,1.185411501,0.917607727
ribose,1.624080366,1.595095287,0.648946377,0.982152928,0.916240653,0.932890009
ribose 1-phosphate,1.25455246,1.203187736,0.539329688,0.959057333,1.452325149,1.514325682
S-adenosylhomocysteine (SAH),0.911457044,1.239910869,0.297446151,1.360361278,1.82335065,1.340342951
S-adenosylmethionine (SAM),0.614176101,1.215301151,0.200667864,1.978750311,1.243618387,0.628486768
S-methylglutathione,0.18937433,1.12647526,0.859684925,5.948405246,2.443376994,0.41076169
sedoheptulose-7-phosphate,0.381222302,1.676388746,1.249382373,4.397404704,2.263179238,0.514662486
serine,0.904119282,0.977979951,0.051312925,1.0816935,1.285722272,1.188619763
serotonin,0.567712318,0.98058531,0.296395554,1.727257412,1.277740341,0.739750967
spermidine,1.297218656,0.914071291,0.403827354,0.704639335,0.678647443,0.963113198
spermine,1.635041208,1.225696589,0.507162281,0.749642629,0.627680285,0.837306019
"sphingomyelin (d18:1/14:0, d16:1/16:0)",1.155985034,0.982608029,0.157806273,0.85001795,1.25726989,1.479109812
"sphingomyelin (d18:1/24:1, d18:2/24:0)",0.562473591,0.856175413,0.295173853,1.522161087,1.117779628,0.734337277
"sphingomyelin (d18:2/16:0, d18:1/16:1)",1.435160458,1.792935194,0.527656641,1.249292499,1.278968792,1.02375448
sphingosine,1.827441723,1.979500424,1.211568119,1.083208509,1.956443332,1.806155801
stachydrine,1.137184899,1.435170667,1.115101494,1.262038098,1.961255356,1.554038154
stearate (18:0),1.389328887,1.678083461,0.362534726,1.20783745,1.31816515,1.091343168
stearidonate (18:4n3),1.061972448,0.5216595,0.330748944,0.491217546,0.481194739,0.97959599
stearoyl sphingomyelin (d18:1/18:0),0.635144896,1.295551837,0.243799792,2.039773673,1.273284518,0.624228332
stearoylcarnitine,1.6628112,4.281049439,4.551028209,2.574585401,1.971200746,0.765638128
succinate,1.332581038,1.298787673,0.190037733,0.974640668,1.870205782,1.918866967
succinylcarnitine,0.981236029,1.100525769,0.18215623,1.121570892,1.152083935,1.02720563
sulfate,1.274038362,1.211550051,0.375009352,0.950952567,1.058165329,1.112742492
tartarate,0.561516818,0.355107217,0.406437759,0.632407091,0.231067077,0.365377112
taurine,1.020556964,1.272546823,0.144369304,1.246914056,1.331991758,1.068230606
thiamin (Vitamin B1),0.203641585,1.137782883,0.303275042,5.587183393,0.993794776,0.177870441
thiamin diphosphate,0.858834817,1.521060744,0.614646321,1.771074849,1.405765251,0.793735652
thiamin monophosphate,0.323136646,0.852826087,0.150500334,2.639211917,1.24478616,0.471650705
threonate,0.848039443,1.292879959,0.304800412,1.524551683,1.661134918,1.089589115
threonine,1.027279965,1.028005307,0.176520077,1.000706081,1.473211979,1.472172506
thymidine,4.113185054,0.796655199,0.302415704,0.193683287,2.142374481,11.06122536
tiglyl carnitine,0.866854187,1.311550676,0.27596645,1.513000335,1.334575448,0.882072143
trans-4-hydroxyproline,0.883382369,0.647749809,0.211597343,0.733260966,0.717138698,0.97801292
trans-urocanate,2.689303183,0.861227287,0.363549783,0.320241798,0.444532307,1.388114574
trigonelline (N'-methylnicotinate),6.879570556,1.982403787,0.842252841,0.288158072,0.565815912,1.963560862
tryptophan,1.284382128,1.33908046,0.240035903,1.042587273,1.902933751,1.82520332
tyrosine,1.496635763,1.553564231,0.346722664,1.038037623,1.909650286,1.839673479
UDP-galactose,0.663518125,0.928424245,0.215946939,1.399244739,1.987453728,1.420376059
UDP-glucose,0.91554556,0.835528694,0.190485722,0.912601983,1.758114747,1.926485785
UDP-glucuronate,0.590513347,0.762320329,0.424889217,1.290945128,1.864072606,1.443959596
UDP-N-acetylglucosamine,0.512865164,1.137905629,0.170221608,2.218722793,1.688446805,0.760999441
undecanedioate,2.016433351,1.187460309,0.269130327,0.588891425,0.892565756,1.515671172
uracil,3.573730316,1.371780165,0.507888286,0.383851059,1.366925894,3.561084081
urate,2.45061258,1.068204467,0.216951469,0.435892836,1.149467767,2.637042118
urea,1.365922055,0.751649087,0.238866308,0.550286954,0.933988895,1.6972761
uridine,1.090288972,1.17965402,0.311731239,1.081964553,1.491462777,1.378476562
uridine 3'-monophosphate (3'-UMP),25.94722855,1.304479879,0.842671701,0.050274343,0.776150413,15.43830035
uridine 5'-diphosphate (UDP),1.178521232,0.882131462,0.441299217,0.74850706,1.875480962,2.505628954
uridine 5'-monophosphate (UMP),0.731649917,0.923093549,0.482714539,1.261660157,1.243919651,0.98593876
"uridine-2',3'-cyclic monophosphate",N.A.,0.648986354,0.848828224,N.A.,N.A.,0.208791613
valerylcarnitine,1.036773314,1.814128779,0.554268284,1.749783443,1.466077837,0.837862447
valine,1.402142058,1.207225449,0.193397411,0.860986547,1.772098503,2.058218573
valylglutamine,N.A.,N.A.,N.A.,0.291494092,1.217946766,4.178289714
valylglycine,N.A.,N.A.,N.A.,0.19444748,1.158571897,5.95827675
valylleucine,4.649538155,3.180183043,1.228077714,0.683978266,1.01046852,1.477340102
xanthine,1.448471897,1.153329045,0.304054519,0.796238469,1.401306366,1.759907892
xanthosine,1.950759898,1.496595786,0.592319865,0.767186053,1.356622999,1.768310299
xanthurenate,1.180172117,0.670223752,N.A.,0.567903395,0.259644927,0.45719911
