,Breast cancer stage1 vs Control,Breast cancer stage2 vs Control,Breast cancer stage3 vs Control,Breast cancer stage4 vs Control,Breast cancer stage2 vs Breast cancer stage1,Breast cancer stage3 vs Breast cancer stage1,Breast cancer stage4 vs Breast cancer stage1,Breast cancer stage3 vs Breast cancer stage2,Breast cancer stage4 vs Breast cancer stage2,Breast cancer stage4 vs Breast cancer stage3
N-Acetyl-D-glucosamine,1.103990328,0.990197423,1.069224391,1.010399322,0.896925813,0.968508839,0.915224796,1.079809305,1.020401891,0.944983421
N-Acetylglycine,1.249323551,0.785305887,0.789924921,0.819557602,0.628584874,0.632282102,0.656001083,1.005881828,1.043615763,1.037513288
N-Acetyl-alpha-neuraminic acid,1.459804117,1.407844203,1.635222417,1.407845914,0.964406242,1.120165643,0.964407414,1.16150808,1.000001215,0.860950718
N-Formylglycine,0.577918373,0.889734024,0.986668766,0.784825267,1.539549642,1.707280495,1.358020967,1.108947999,0.882089755,0.795429322
Nicotine,0.98722728,1.006150861,0.983429814,0.990585199,1.019168414,0.996153402,1.003401363,0.977417853,0.984529495,1.007275949
Nicotinic acid,0.941716407,0.955348188,0.769699753,0.925446778,1.014475463,0.817337096,0.98272343,0.805674583,0.968701034,1.202347765
Nicotinic acid,1.084809346,1.00729819,1.038518884,1.183253298,0.928548592,0.957328482,1.0907477,1.03099449,1.174680258,1.139366185
Pelargonic acid,0.788386726,0.751259147,0.752586758,0.786815742,0.952906895,0.954590854,0.998007344,1.00176718,1.047329334,1.045481779
Stearic acid,0.788189624,0.719276468,0.690409377,0.925415127,0.912567796,0.875943245,1.174102144,0.959866487,1.286591691,1.340386094
Caprylic acid,1.083695712,0.916848995,1.218629959,1.479563256,0.846039146,1.12451304,1.365294002,1.329150128,1.613748026,1.214120205
Caprylic acid,0.893517089,0.817118343,0.599768861,1.442638716,0.914496603,0.67124498,1.614561975,0.734004892,1.765519927,2.405324469
Ornithine,0.979102341,1.054075693,1.302292838,1.135683354,1.07657356,1.330088575,1.15992303,1.235483227,1.077421063,0.872064501
Oxalic acid,1.067498576,0.954797654,0.959012096,0.882627601,0.894425225,0.898373185,0.826818528,1.004413963,0.924413248,0.920350854
Oxalic acid,1.150868534,0.875210246,0.801269589,0.765132232,0.760478039,0.696230338,0.664830265,0.915516691,0.874226776,0.954899878
Palmitoleic acid,0.757999564,0.498714538,0.419317804,0.890055477,0.657935124,0.553190034,1.174216344,0.840797235,1.784699282,2.122627439
Parabanic acid,0.763236482,0.89393674,1.009911901,0.732567659,1.171244772,1.323196578,0.959817404,1.129735312,0.8194849,0.725377786
Phenylalanine,0.86156176,0.929308937,0.933683581,0.872337709,1.07863299,1.083710564,1.012507459,1.004707416,0.93869506,0.934296936
Picolinic acid,1.058130676,0.732580873,1.055765116,0.74860367,0.692334972,0.997764397,0.707477523,1.441158451,1.021871711,0.709062706
Proline,0.828318034,1.005179421,1.053292519,0.946333929,1.213518696,1.271603992,1.142476549,1.047865184,0.941457723,0.8984531
Pseudouridine,0.944934525,0.864082997,0.963309207,1.175791097,0.914436899,1.019445454,1.244309595,1.114834118,1.36073861,1.220574961
Pyrrole-2-carboxylic acid,1.019222047,0.724842088,1.108326124,0.902698342,0.711171908,1.087423616,0.885673877,1.529058731,1.245372415,0.814469968
Pyruvic acid,1.480403814,1.888679598,1.880627874,1.99878907,1.275786769,1.270347899,1.350164767,0.99573685,1.05829971,1.062830716
Xylitol,1.226438546,1.055215247,1.186180841,2.166206864,0.860389826,0.967175115,1.766257977,1.124112682,2.052857813,1.826202876
Sarcosine,2.338947016,1.42290907,1.35182898,2.058159338,0.608354554,0.577964773,0.879951244,0.950045937,1.446444739,1.522499789
Serine,0.849152463,0.913081917,0.88331529,0.890798214,1.075286191,1.040231676,1.049043903,0.967399828,0.975595066,1.008471408
Sorbose,1.151611099,1.021414275,0.985749796,0.9806556,0.886943757,0.855974554,0.851551014,0.965083239,0.960095843,0.99483216
Succinic acid,0.685011086,0.531845299,0.661410118,0.560677129,0.77640393,0.96554659,0.818493511,1.243613734,1.054210933,0.847699655
Threitol,0.85371876,0.762577878,0.857579513,0.918315592,0.893242498,1.004522277,1.075665237,1.124579584,1.204225324,1.07082268
Threonine,0.692469239,0.779978822,0.753114302,0.768821067,1.126373242,1.087577988,1.110260244,0.965557373,0.985694797,1.020855751
Urea,1.203641965,1.050318317,1.025628845,1.112228759,0.872616898,0.852104592,0.924052826,0.976493343,1.058944455,1.084435918
Uric acid,0.835036695,0.856599069,0.783299928,1.03290984,1.025822068,0.938042524,1.236963414,0.914430049,1.20582648,1.31866454
Xylitol,0.9992087,0.989965693,1.046587605,0.908364998,0.990749674,1.047416426,0.909084356,1.057195832,0.917572198,0.867930208
