,Pancreas tumor vs Normal pancreas,Pancreas tumor vs Normal area of the pancreas with tumor,Normal area of the pancreas with tumor vs Normal pancreas
Guanine,NA,1.133053882,NA
Guanosine,0.360110598,1.741210035,0.206816289
Guanosine,NA,NA,NA
Guanosine,0.18467112,1.895230077,0.097439948
Guanosine,0.068505234,NA,NA
"3',5' cyclic GMP",NA,NA,8.101741839
"3',5' cyclic GMP",NA,NA,NA
GDP,NA,NA,NA
GDP,0.927217014,NA,NA
GDP,NA,NA,NA
GDP-glucose,NA,NA,NA
GTP,0.305134125,NA,NA
GMP,NA,NA,NA
GMP,NA,NA,NA
GMP,0.135831453,6.660987126,0.020392091
Gulonic acid,0.503510794,0.429968155,1.17104206
"Gulono-1,4-lactone",NA,NA,NA
Margaric acid,0.019459089,1.052694255,0.018485034
LPC 17:0,NA,NA,NA
LPC 17:0,NA,0.38416342,NA
LPC 17:0,0.010656209,0.50391442,0.021146864
LPC 17:0,NA,NA,NA
Heptadecenoic acid,0.011521974,0.50343383,0.02288677
Heptylic acid,0.765174515,0.765808299,0.999172398
Cerotic acid,1.17853604,0.991365676,1.188800528
Hexadecanedioic acid,NA,NA,0.172393897
Caproic acid,0.760807761,1.197807876,0.635166771
Sorbitol,0.31523297,NA,NA
Sorbitol,0.022275699,0.706893834,0.031512085
Hexose,4.074468598,0.180017,22.63379902
Hexose,0.656443727,0.316242584,2.075760068
Hexose,0.810759948,0.447868211,1.810264553
Hippuric acid,NA,1.736174805,NA
Hippuric acid,NA,1.717715564,NA
Hippuric acid,NA,1.818078622,NA
Hippuric acid,4.601948958,1.522706643,3.02221638
Histamine,0.860742814,0.514649671,1.672482977
Histidine,0.013704038,0.426274218,0.03214841
L-Histidinol,NA,NA,NA
Homocysteine,1.932927412,1.464744537,1.319634492
Homocystine,NA,NA,NA
Homogentisic acid,NA,NA,NA
Homoserine,NA,NA,NA
Homovanillic acid,NA,2.75330326,NA
Homovanillic acid,NA,1.301490916,NA
Homovanillic acid,NA,NA,NA
Hippuric acid,61.35262459,2.702034765,22.70608261
Hippuric acid,61.35262459,2.702034765,22.70608261
2-Hydroxybenzaldehyde,NA,1.256114605,NA
Hydroxydecanoic acid,1.820239574,1.726393634,1.054359526
Hydroxydecanoic acid,1.820239574,1.726393634,1.054359526
Hydroxydecanoic acid,0.318155232,4.763365038,0.066792116
Hydroxydecanoic acid,0.318155232,4.763365038,0.066792116
Hypotaurine,0.486579531,NA,NA
Hypoxanthine,0.463961107,4.986425027,0.093044838
Hypoxanthine,0.464171711,4.989854274,0.093023099
Hypoxanthine,2.563093189,1.380449351,1.85670933
Hypoxanthine,0.675539563,2.698586816,0.250330862
Hypoxanthine,0.240146403,2.72693794,0.088064491
Hypoxanthine,2.126787539,1.637250226,1.298999692
Hypoxanthine,NA,0.051202053,NA
Indican,0.730391958,0.978967482,0.746083982
1H-Indole-3-acetamide,NA,0.585951642,NA
1H-Indole-3-acetamide,NA,NA,NA
Indoleacetic acid,NA,1.356423533,NA
Indoleacetic acid,NA,5.875097081,NA
Indoleacetic acid,7.432704403,1.362407096,5.455567888
Indoleacetic acid,NA,NA,NA
Indolepyruvate,1.324419098,2.162804974,0.612361777
Indolepyruvate,NA,1.454574333,NA
Indoxyl,NA,0.771830517,NA
Inosine,0.488448265,2.205781952,0.221439959
Inosine,0.192678665,4.020062684,0.047929269
Inosine,NA,NA,NA
Inosine,4.551189813,1.129027336,4.031071409
Inosine,0.454338146,2.263216858,0.200748834
Inosine,1.270337529,3.976174091,0.319487402
Inosine,3.010415022,0.89395254,3.367533385
Inosine,4.786950547,1.143243679,4.187165549
Inosine,4.728213672,1.129262232,4.186993542
Inosine,0.232525909,2.822011295,0.082397228
Inosine,0.132576958,5.525287567,0.023994581
IDP,2.093708444,1.805712852,1.159491356
IMP,NA,NA,NA
IMP,0.80943769,2.195967675,0.368601824
Isocitric acid,NA,2.10888258,NA
Isoleucine,0.066874975,2.369761183,0.028220133
Kynurenine,2.027829263,5.170359036,0.392202795
Kynurenine,1.383219026,5.937897271,0.232947618
Leu-Leu,1.027054324,1.041354847,0.986267387
Lactic acid,0.32322015,0.972553436,0.33234179
Lauric acid,0.020399234,0.238039939,0.085696687
CAR(12:0),0.250087673,7.211076382,0.034681046
Mimosine,NA,NA,NA
Mimosine,NA,0.643630324,NA
Mimosine,NA,NA,NA
Leucine,0.222765521,3.091987436,0.072046063
LTA4,0.044620165,1.218964606,0.036604972
LPC 18:2,0.002913242,0.164301231,0.0177311
LPC 18:2,0.027644503,NA,NA
LPC 18:2,NA,NA,NA
LPC 18:2,0.110857612,2.036086794,0.054446408
LPC 18:2,0.002927846,0.175247609,0.016706911
LPC 18:2,0.02765335,NA,NA
LPC 18:2,NA,NA,NA
LPC 18:2,0.110724254,1.99780499,0.055422954
LPC 18:2,0.002927915,0.175247609,0.016707302
LPC 18:2,0.027651054,NA,NA
LPC 18:2,NA,NA,NA
LPC 18:2,0.110793232,1.999017571,0.055423841
LPE 18:2,0.045550777,1.891854458,0.024077316
LPE 18:2,0.045550777,1.891854458,0.024077316
"2,6-Diaminopimelic acid",0.625357218,NA,NA
Lumichrome,NA,0.254051959,NA
Lumichrome,0.230386063,NA,NA
Lumichrome,0.086965807,NA,NA
Lumichrome,NA,NA,0.045056213
Lysine,0.18067223,1.173612433,0.153945395
Lysine,0.964664006,1.136690659,0.848660098
Malic acid,20.01113572,2.353081731,8.504224675
Malic acid,0.738443226,1.980846195,0.372791804
Maleamate,0.13943757,NA,NA
Maleimide,3.999150796,1.173740353,3.40718523
Malonic acid,0.684460812,2.321526745,0.294832189
Mannose 6-phosphate,0.584185401,NA,NA
Mannose 6-phosphate,NA,2.207346659,NA
Melatonin,NA,NA,NA
Methionine,0.341246228,2.520250091,0.135401732
Methionine,0.319235928,2.558269234,0.1247859
Methionine,0.322859491,2.573719075,0.125444728
Methionine,0.188537937,2.525821128,0.074644216
Methylacetoacetic acid,NA,NA,NA
Methylacetoacetic acid,NA,0.061647977,NA
Methyl beta-D-galactoside,0.388115671,3.528546073,0.109993086
Methyl beta-D-galactoside,0.044278356,NA,NA
Indole-3-methyl acetate,NA,NA,NA
Methyl jasmonate,2.556710015,0.878660229,2.909782337
Methyl jasmonate,3.630678338,0.97856972,3.710188721
Methyl jasmonate,3.632853271,0.978079215,3.714273052
Methyl jasmonate,2.675946835,0.883529708,3.028700461
Methylparaben,NA,0.805365114,NA
Methyl vanillate,NA,0.826448021,NA
Methylguanidine,NA,NA,NA
Methylimidazoleacetic acid,0.858325912,1.693394815,0.506866978
Methylmalonic acid,NA,NA,NA
Methylmalonic acid,NA,NA,NA
Methylmalonic acid,0.609637659,0.889904959,0.685059289
Methyl vanillate,NA,NA,NA
Monomethyl glutaric acid,0.076267197,NA,NA
Monomethyl glutaric acid,NA,NA,NA
Myo-inositol,0.437841481,1.093224931,0.400504479
Myo-inositol,0.39081833,1.309844893,0.298369931
Myo-inositol,0.390560946,1.309775475,0.298189234
Myo-inositol,0.438894774,1.095068141,0.400792205
Myristic acid,0.003573003,0.177912572,0.020082912
Myristoleic acid,0.008515501,0.197549552,0.043105647
LPC 14:0,NA,NA,0.006109192
LPC 14:0,0.008863969,2.561631668,0.003460282
LPC 14:0,NA,NA,NA
LPC 14:0,NA,NA,NA
LPC 14:0,NA,NA,0.004041682
LPC 14:0,0.028027285,3.708312038,0.007557963
LPC 14:0,0.007874231,2.366699437,0.003327094
LPC 14:0,0.015601156,0.972721005,0.016038675
LPC 14:0,0.008984984,2.91040064,0.003087198
LPC 14:0,NA,NA,0.07565714
LPC 14:0,0.046157155,NA,NA
LPC 14:0,0.015627703,0.878939587,0.017780179
LPC 14:0,NA,NA,NA
LPC 14:0,0.007806085,2.474152288,0.003155054
N-Acetyl-D-galactosamine,NA,3.183483692,NA
N-Acetylhexosamine,NA,NA,NA
N-Acetylhexosamine,NA,4.773644438,NA
N-Acetylhexosamine,1.110280026,3.435245012,0.323202573
N-Acetylhexosamine,NA,6.214309442,NA
N-Acetyl-D-tryptophan,NA,0.445380046,NA
N-Acetyl-D-tryptophan,0.118816449,1.947379884,0.061013493
N-Acetylglutamic acid,NA,8.194307849,NA
N-Acetylglutamic acid,3.979989521,5.583430045,0.712821597
N-Acetylglutamic acid,NA,2.471955659,NA
N-Acetylglutamic acid,1.602722958,1.242863819,1.289540281
N-Acetylglutamic acid,NA,NA,NA
N-Acetylmethionine,NA,3.610923925,NA
N-Acetylmethionine,NA,3.794009339,NA
N-Acetylmethionine,NA,3.794009339,NA
N-Acetylmethionine,NA,3.611249266,NA
N-Acetylmethionine,NA,3.284313495,NA
N-Acetylmethionine,NA,3.610923925,NA
N-Acetylmethionine,NA,NA,NA
N-Acetylmethionine,NA,NA,NA
N-Acetylalanine,NA,5.003452836,NA
N-Acetylaspartic acid,2.274622339,2.690377416,0.845465891
N-Acetylaspartic acid,2.104168116,3.292213511,0.639134767
N-Acetylaspartic acid,0.269142421,2.011713027,0.133787681
N-Acetylcysteine,NA,NA,NA
N-Acetylcysteine,NA,NA,NA
N-Acetylcysteine,NA,NA,NA
N-Acetylcysteine,0.204410193,3.313383859,0.061692276
N-Acetylleucine,NA,1.661399968,NA
N-Acetylleucine,NA,NA,NA
N-Acetylleucine,2.145793731,1.171831621,1.831145101
N-Acetylphenylalanine,NA,NA,NA
N-Acetylphenylalanine,NA,NA,NA
N-Acetylphenylalanine,0.700339023,1.20881724,0.579358897
N-Acetylglycine,0.6003352,NA,NA
N-Acetyl-alpha-neuraminic acid,NA,1.781659567,NA
N-Acetyl-alpha-neuraminic acid,NA,2.921232214,NA
N-Acetyl-alpha-neuraminic acid,12.84748989,1.931879628,6.650253831
N-Acetyl-alpha-neuraminic acid,1.217299422,1.022619252,1.190374051
N-Acetylputrescine,NA,NA,NA
N-Acetylserotonin,NA,1.144348475,NA
N-Acetylserotonin,NA,NA,NA
N-Acetylasparagine,0.123885686,NA,NA
N-Acetylasparagine,NA,NA,NA
N-Acetylasparagine,NA,NA,NA
N(2)-Acetyllysine,0.76403906,1.670215246,0.457449459
N(2)-Acetyllysine,1.347894569,1.928300892,0.699006351
Guanidinosuccinic acid,NA,NA,NA
N-Benzyloxycarbonylglycine,2.104180507,1.10208455,1.909273211
N-Benzyloxycarbonylglycine,NA,2.60978836,NA
N-Benzyloxycarbonylglycine,23.79915604,1.745487709,13.63467409
N-Benzyloxycarbonylglycine,0.54746374,0.431997093,1.267285703
N-Benzyloxycarbonylglycine,NA,NA,NA
N-Cyclohexylformamide,NA,1.124497231,NA
N-Cyclohexylformamide,NA,0.7198559,NA
Cyclamic acid,NA,NA,NA
Cyclamic acid,NA,NA,NA
N-Ethylmaleimide,0.255491349,1.544042275,0.165469141
N-Methyltryptamine,NA,NA,NA
N-Methyltyramine,3.168664028,NA,NA
N-Oleoyl glycine,NA,0.627208522,NA
N-Oleoyl glycine,NA,NA,NA
3-Methylhistidine,0.091881188,1.605220405,0.057238986
3-Methylhistidine,1.421174759,NA,NA
3-Methylhistidine,NA,0.939570478,NA
N-6-Trimethyllysine,0.474152181,1.402396549,0.33810136
N-Methyltryptamine,0.062745502,5.15023714,0.012183032
N1-Acetylspermine,NA,NA,NA
N1-Methyl-2-pyridone-5-carboxamide,NA,4.626687682,NA
N1-Methyl-2-pyridone-5-carboxamide,NA,NA,8.385183558
N1-Methyl-2-pyridone-5-carboxamide,NA,NA,NA
N1-Methyl-2-pyridone-5-carboxamide,NA,4.644099951,NA
N1-Methyl-2-pyridone-5-carboxamide,NA,NA,NA
N2-Succinylglutamate,NA,5.349940228,NA
Aspartylglycosamine,NA,NA,NA
N4-Acetylcytidine,NA,2.066204008,NA
N6-(delta2-Isopentenyl)-adenine,NA,NA,0.070228416
N6-(delta2-Isopentenyl)-adenine,0.852680834,NA,NA
NADP+,NA,NA,NA
Niacinamide,0.25821594,2.379252201,0.108528192
Niacinamide,0.111118275,3.46241827,0.032092678
NAD+,0.040601528,7.641763229,0.00531311
NAD+,2.06057619,2.331123172,0.883941361
NAD+,0.035612437,8.548688973,0.004165836
NAD+,0.034758981,7.661172929,0.004537031
NADP+,NA,NA,0.040992078
NADP+,NA,NA,NA
Nicotinamide ribotide,3.061911956,24.0271708,0.127435393
Nicotinamide ribotide,3.014974464,24.47248876,0.123198523
D-Ribosylnicotinate,NA,NA,NA
D-Ribosylnicotinate,NA,NA,NA
D-Ribosylnicotinate,NA,1.050059409,NA
D-Ribosylnicotinate,NA,0.669437455,NA
Nonadecylic acid,0.072623636,2.935451114,0.024740196
Nonadecenoic acid,0.021739405,0.987040793,0.02202483
Pelargonic acid,1.005837545,0.9134885,1.101094919
Xi-Norepinephrine,NA,0.748097552,NA
Normetanephrine,0.485752442,1.133698475,0.428467051
CAR 2:0,2.068844198,41.71544443,0.049594202
CAR 2:0,1.213105059,3.374726162,0.359467702
CAR 2:0,NA,NA,NA
CAR 2:0,NA,NA,0.668537726
O-Acetylserine,NA,NA,NA
DL-O-Phosphoserine,2.020221215,1.598337617,1.263951491
DL-O-Phosphoserine,NA,NA,NA
DL-O-Phosphoserine,0.061157928,NA,NA
Phosphoserine,NA,NA,NA
DL-O-Phosphoserine,NA,2.759401495,NA
DL-O-Phosphoserine,NA,0.931354858,NA
Phosphoserine,3.244632973,3.991176788,0.812951454
Phosphoserine,NA,11.38546852,NA
o-Succinylhomoserine,7.903592935,4.722643069,1.673552886
o-Succinylhomoserine,NA,8.143777077,NA
Octadecanedioic acid,0.405332518,1.151415961,0.352029615
Octadecanedioic acid,0.405332518,1.151415961,0.352029615
Octopamine,NA,NA,NA
Oleamide,NA,7.753023918,NA
Oleamide,NA,NA,0.86286337
Oleamide,16.9593466,2.072511489,8.182992804
Oleamide,NA,NA,NA
Oleamide,16.97881334,2.075471032,8.180703597
Oleamide,NA,1.327736535,NA
Oleamide,NA,7.764995074,NA
Oleic acid,0.712351043,0.471974613,1.509299489
CAR 18:1,NA,NA,NA
CAR 18:1,NA,NA,NA
CAR 18:1,0.124045699,21.17270974,0.005858754
CAR 18:1,NA,NA,NA
CAR 18:1,0.355681654,10.62130734,0.033487559
LPC 18:1,NA,NA,NA
LPC 18:1,NA,NA,NA
LPC 18:1,0.043874163,2.389231467,0.018363295
LPC 18:1,NA,NA,NA
LPC 18:1,NA,NA,NA
LPC 18:1,NA,NA,NA
LPC 18:1,0.043200688,2.319933929,0.018621516
LPC 18:1,NA,4.335229563,NA
LPC 18:1,NA,NA,NA
LPC 18:1,NA,NA,NA
LPC 18:1,0.043200688,2.319933929,0.018621516
LPC 18:1,NA,4.335229563,NA
LPC 18:1,NA,NA,NA
LPC 18:1,NA,NA,NA
LPC 18:1,0.044140376,2.403260054,0.018366875
LPC 18:1,NA,NA,NA
LPE 18:1,0.019497846,5.685583834,0.003429348
LPE 18:1,0.019497846,5.685583834,0.003429348
Ophthalmic acid,5.083332109,2.13598197,2.379857219
Ophthalmic acid,0.329918726,3.008992543,0.109644248
Ornithine,0.367230681,0.74888497,0.490369943
Ornithine,0.126188753,1.007522536,0.125246581
Ornithine,0.410344527,0.966872061,0.424404162
Orotic acid,NA,NA,0.077062217
Orotidylic acid,1.734510187,1.903154188,0.911387106
Orotidylic acid,NA,NA,NA
Orotidylic acid,NA,NA,NA
Oxalic acid,0.587695662,1.566279738,0.37521756
3-Oxalomalic acid,2.968840141,4.420498425,0.671607555
Oxalosuccinic acid,NA,NA,NA
Mesoxalic acid,NA,NA,NA
Mesoxalic acid,0.893948828,15.0400033,0.059438074
p-Acetamidophenylglucuronide,125.1108583,2.379624544,52.57588159
p-Acetamidophenylglucuronide,125.1108583,2.379624544,52.57588159
Palmitic acid,NA,NA,1.452057884
Palmitoleic acid,0.001509665,0.067189997,0.022468601
Palmitoleic acid,0.002684267,0.119251869,0.022509227
Palmitoleic acid,NA,NA,NA
LPC 16:1,NA,NA,0.129198475
LPC 16:1,NA,NA,NA
LPC 16:1,0.013410068,NA,NA
SM 18:1;O2/16:0,1.194103087,2.170341059,0.550191447
SM 18:1;O2/16:0,0.239565467,8.533997084,0.028071895
CAR 16:0,0.068814282,2.675269438,0.025722374
CAR 16:0,0.071458929,8.547055632,0.008360649
CAR 16:0,0.237563147,12.76484915,0.018610729
CAR 16:0,0.291886613,11.37421887,0.025662124
LPC 16:0,0.000781298,NA,NA
LPC 16:0,NA,NA,NA
LPC 16:0,0.027732905,0.877237557,0.031613905
LPC 16:0,0.706902485,1.45181162,0.486910612
LPC 16:0,0.000494902,NA,NA
LPC 16:0,NA,NA,NA
LPC 16:0,0.043604572,0.886549266,0.049184601
LPC 16:0,0.700187113,1.437167416,0.487199407
LPC 16:0,NA,NA,NA
LPC 16:0,NA,NA,NA
LPC 16:0,0.04155622,0.879705574,0.047238783
LPC 16:0,0.705597866,1.445990518,0.487968529
LPC 16:0,0.000494902,NA,NA
LPC 16:0,NA,NA,NA
LPC 16:0,0.043604572,0.886549266,0.049184601
LPC 16:0,0.700187113,1.437167416,0.487199407
Palmitoleic acid,0.032852441,2.029184492,0.016189973
Palmitoleic acid,0.032852441,2.029184492,0.016189973
LPI 16:0,0.005204171,2.208662787,0.002356254
LPI 16:0,0.005204171,2.208662787,0.002356254
Pantolactone,0.563292459,0.550172809,1.023846417
Pantolactone,NA,0.763794231,NA
Pantothenic acid,0.960226917,4.735973562,0.202751748
Pantothenic acid,0.089511496,4.017449491,0.022280677
Pantothenic acid,0.08952889,3.898748863,0.022963492
Pantothenic acid,0.960169351,4.735191285,0.202773086
Pantothenic acid,0.09512267,5.294175245,0.01796742
Pantothenic acid,NA,NA,NA
Pantothenic acid,0.095076768,5.305724946,0.017919656
Paraoxon-methyl,NA,NA,NA
Paraoxon-methyl,NA,NA,NA
Paraoxon-methyl,NA,NA,NA
Paraoxon-methyl,0.029037852,2.746706385,0.010571881
Arabitol,NA,0.506716118,NA
Arabitol,10.48088937,0.823423528,12.72843076
Pentopyranose,NA,NA,NA
6-Octadecylenic acid,NA,0.874530581,NA
Phenylacetaldehyde,0.141712961,0.553342501,0.256103518
Phenylacetic acid,0.609755868,1.204476067,0.506241581
Phenylacetic acid,NA,NA,NA
Phenylacetic acid,NA,NA,NA
alpha-N-Phenylacetylglutamine,NA,1.160716953,NA
alpha-N-Phenylacetylglutamine,NA,0.835208132,NA
alpha-N-Phenylacetylglutamine,NA,2.36676568,NA
alpha-N-Phenylacetylglutamine,24.82265954,1.333832516,18.6100273
alpha-N-Phenylacetylglutamine,NA,2.3693855,NA
Phenylalanine,NA,1.644125072,NA
Phenylalanine,0.22177318,2.684428267,0.082614679
Phenylalanine,0.249947254,2.600062834,0.096131236
Phenylalanine,NA,1.642137613,NA
Phenylalanine,0.172909653,2.444226719,0.070742068
Phenylpyruvic acid,NA,5.036597627,NA
Phosphoric acid,9.965614002,0.844017863,11.80734963
Phosphoric acid,NA,3.637892856,NA
Phosphoric acid,0.038500702,NA,NA
Phosphoric acid,NA,NA,NA
Phosphoenolpyruvic acid,NA,1.067277517,NA
Phosphoenolpyruvic acid,21.58738906,1.167019602,18.49788044
Phosphoenolpyruvic acid,7.448127421,0.966394221,7.707131583
Choline phosphate,0.498895637,2.921544829,0.170764327
Choline phosphate,NA,NA,NA
Phosphocreatine,NA,NA,NA
Phosphocreatine,NA,0.684061057,NA
Phosphocreatine,NA,2.034419559,NA
Phosphoethanolamine,NA,NA,NA
Phosphoethanolamine,0.701309633,3.335367906,0.210264551
Phosphoglyceric acid,7.598099762,2.354330926,3.227286223
Phosphoglyceric acid,NA,3.737624297,NA
Acetylphosphate,NA,NA,NA
Acetylphosphate,NA,NA,NA
Acetylphosphate,2.603323012,NA,NA
Phthalic acid,NA,0.656996271,NA
Phthalic acid,NA,0.532740546,NA
Myo-inositol hexakisphosphate,NA,1.742109015,NA
Pimelic acid,NA,2.753691474,NA
Pimelic acid,NA,2.753691474,NA
Pimelic acid,NA,NA,NA
Pipecolic acid,1.534198052,1.956863371,0.784008774
Piperine,NA,NA,1.363310073
Piperine,3.831140272,2.827489954,1.354961586
Piperine,4.867078792,2.989629095,1.627987499
Piperine,NA,NA,1.362344453
Piperine,3.827243556,2.826930425,1.353851344
Piperine,4.865354506,2.989489087,1.62748696
Piperine,NA,NA,1.360730136
Piperine,3.820116886,2.855635735,1.337746562
Piperine,4.833039266,2.965172476,1.629935292
Pregnenolone sulfate,0.470486864,0.986178681,0.477080749
Pregnenolone,NA,1.47013999,NA
Pregnenolone,NA,NA,NA
Proline,1.525135477,2.301790764,0.662586496
Proline,1.40901735,2.312454063,0.609316904
Proline,0.799514541,2.896040908,0.276071563
Prometryn,NA,NA,NA
Prometryn,2.239057477,1.05010792,2.132216542
PGB1,NA,NA,1.077869869
PGE1,0.01545141,0.559850878,0.027599152
PGE3,0.14553723,2.044329859,0.071190679
PGF2alpha,NA,NA,0.026479108
PGG2,NA,NA,NA
PGG2,NA,NA,NA
PGH2,0.57054491,4.70260206,0.121325365
Protoporphyrin,NA,0.393948761,NA
Protoporphyrin,NA,NA,NA
Pterin,0.19395637,1.5591943,0.124395254
Pterin,NA,NA,NA
Pterin,NA,NA,NA
Quinolinic acid,37.31468586,4.149226143,8.993167539
Pterin,NA,0.838656592,NA
Quinolinic acid,NA,NA,NA
Pyridoxal,0.623797848,NA,NA
Pyridoxal,NA,NA,NA
Pyridoxal,0.622154595,NA,NA
Pyridoxal,NA,NA,NA
Pyridoxine,1.495278912,NA,NA
Pyruvic acid,1.211185928,1.613921513,0.75046148
Pyruvic acid,NA,1.726807872,NA
Quinic acid,NA,0.513673464,NA
Quinic acid,NA,0.385770381,NA
2-Hydroxyquinoline,NA,1.454675537,NA
Quinoline,0.131191754,NA,NA
MG 14:0,0.000263539,0.042536523,0.006195587
Raffinose,12.14748255,0.505659985,24.0230252
Raffinose,0.156270752,0.799550654,0.19544822
Raffinose,NA,NA,NA
Raffinose,3.034089619,NA,NA
Raffinose,0.112802672,0.874590175,0.128977749
Retinal,NA,1.876445598,NA
Retinoic acid,NA,NA,NA
Retinoic acid,NA,NA,NA
Retinoic acid,NA,NA,NA
Retinoic acid,3.000477601,0.919164874,3.264351896
Retinol,7.119974392,1.459369985,4.878800073
Xylitol,47.90421953,4.958606619,9.660822728
Ribose 5-phosphate,NA,1.836937588,NA
Ribose 5-phosphate,2.698043072,2.559961223,1.053939039
Ribose 5-phosphate,0.204856217,5.531698838,0.037033147
"Ribulose 1,5-bisphosphate",NA,NA,NA
"Ribulose 1,5-bisphosphate",NA,NA,NA
"Ribulose 1,5-bisphosphate",NA,NA,NA
S-Adenosylhomocysteine,0.127044036,11.36188304,0.0111816
S-Adenosylhomocysteine,0.182581483,5.022044241,0.036356009
S-Adenosylhomocysteine,0.87968837,5.525645333,0.159201019
S-Adenosylmethionine,NA,0.924289518,NA
S-Adenosylmethionine,0.239619666,14.75726755,0.016237401
S-Carboxymethyl-cysteine,4.623565938,2.888331217,1.600774146
S-Hexyl-glutathione,NA,NA,NA
S-Hexyl-glutathione,NA,1.296233499,NA
Salicylamide,NA,0.820819346,NA
Salicylamide,NA,NA,NA
Salicylic acid,NA,1.141496884,NA
Salicylic acid,NA,1.141496884,NA
Salicylic acid,NA,0.986451443,NA
Salicylic acid,NA,0.987855872,NA
Salicylic acid,1.934319112,1.862591238,1.038509724
Salicylic acid,1.934319112,1.862591238,1.038509724
Salsolinol,0.506452307,NA,NA
Salsolinol,NA,NA,NA
Salsolinol,NA,NA,NA
Salsolinol,NA,NA,NA
Salsolinol,NA,NA,NA
Selenomethionine,41.80812875,1.800664242,23.21817014
Serine,1.585169887,3.745137357,0.423260814
Serine,0.244313081,1.511277975,0.161659923
Serotonin,NA,NA,NA
Serotonin,NA,1.385467811,NA
Shikimic acid,NA,0.380702243,NA
Shikimic acid,NA,NA,NA
Shikimic acid,NA,NA,NA
sn-Glycero-3-phosphocholine,NA,NA,NA
sn-Glycero-3-phosphocholine,NA,NA,0.163751146
sn-Glycero-3-phosphocholine,0.047223809,NA,NA
Sorbic acid,NA,NA,NA
Spermidine,0.012530021,2.433588342,0.005148784
Sphinganine,3.17172033,39.33117179,0.080641389
Sphinganine,0.759285906,6.794392916,0.111751839
Sphinganine,NA,NA,NA
SM 18:0;O2/22:1,NA,NA,NA
Sphingosine,0.193840008,5.155151735,0.037601223
Sphingosine,0.358080576,5.790368957,0.061840718
Squalene,NA,4.692412251,NA
Stachyose,2.181366831,1.236520784,1.764116591
Stachyose,0.201961028,0.890076033,0.226903119
Stearidonic acid,0.012112636,NA,NA
SM 18:1;O2/18:0,0.208165291,1.092959708,0.190460169
SM 18:1;O2/18:0,0.629015578,0.826228427,0.761309534
SM 18:1;O2/18:0,NA,NA,NA
SM 18:1;O2/18:0,0.207839916,1.090256096,0.190634033
SM 18:1;O2/18:0,0.629038932,0.824836557,0.762622519
LPE 18:0,0.358020334,47.44989372,0.007545229
LPE 18:0,0.019369592,8.242669756,0.002349917
LPE 18:0,0.358020334,47.44989372,0.007545229
LPE 18:0,0.019369592,8.242669756,0.002349917
Suberic acid,NA,NA,NA
Suberic acid,65.23567905,3.536079875,18.44858752
Suberic acid,NA,NA,NA
Succinic acid,NA,NA,NA
Succinic acid,0.548466274,0.890138049,0.616158668
Succinic acid,NA,0.287332033,NA
Tartaric acid,NA,NA,NA
Taurine,NA,2.37354093,NA
Taurine,51.56550556,3.118969753,16.5328649
Taurine,1.581483963,NA,NA
Taurine,3.903843955,3.105255681,1.257173114
Taurine,3.557210476,NA,NA
Taurochenodeoxycholic acid,2.113130518,2.83618373,0.745061223
Taurocholic acid,1.856033982,2.890190714,0.642183913
Taurolithocholic acid,NA,NA,NA
Taurolithocholic acid,NA,0.803185856,NA
Testosterone,0.427823857,0.837777123,0.510665481
Testosterone,NA,NA,NA
6R-Tetrahydrofolic acid,0.370828377,1.138774036,0.325638244
Thiamine,0.624959918,NA,NA
Thiamine,0.172466948,2.397657255,0.071931444
Thiamine monophosphate,0.922532651,1.311193259,0.703582515
Thiamine monophosphate,NA,NA,NA
Thiamine diphosphate,NA,NA,0.383835053
Thiamine diphosphate,0.076533631,NA,NA
6-Methylthiopurine,NA,NA,NA
D-Threonic acid,1.170869102,2.332992634,0.501874324
D-Threonic acid,0.427140947,2.302960214,0.18547474
Thymidine,NA,0.776363001,NA
Thymidine,NA,NA,NA
Thymidine,NA,1.45268675,NA
Thymidine,NA,NA,NA
Thymidine,NA,NA,NA
TMP,NA,NA,NA
Thymine,NA,NA,NA
Thymine,NA,NA,NA
Thyrotropin releasing hormone,NA,NA,NA
Thyrotropin releasing hormone,NA,NA,NA
Thyrotropin releasing hormone,0.017444139,0.31056192,0.056169599
Thyroxine,NA,NA,NA
Thyroxine,NA,NA,0.11943628
Thyroxine,NA,NA,NA
Thyroxine,NA,NA,NA
"trans-Cyclohexane-1,2-diol",NA,2.051445262,NA
Tricosanoic acid,0.832296913,NA,NA
Tridecylic acid,0.077588285,0.51295899,0.151256312
Trimethylamine,0.018310184,0.779938296,0.023476452
Tryptamine,0.092158815,4.000845944,0.023034832
Tryptophan,1.471741402,2.041029885,0.721077831
Tryptophan,0.083986087,2.523348623,0.033283585
Tryptophan,0.074363176,2.604535028,0.028551421
Tryptophan,NA,NA,NA
Tryptophan,0.02087646,2.317874902,0.009006724
Lenticin,NA,1.618047638,NA
Lenticin,NA,1.722989975,NA
Lenticin,NA,3.582669646,NA
Lenticin,NA,0.939841716,NA
Lenticin,NA,3.583318539,NA
Lenticin,NA,0.939841716,NA
Lenticin,NA,1.116081283,NA
Lenticin,NA,0.949249293,NA
Lenticin,NA,1.596576948,NA
Lenticin,NA,1.690391045,NA
Lenticin,NA,3.582845109,NA
Lenticin,NA,0.94095038,NA
Lenticin,NA,1.596576948,NA
Lenticin,NA,1.690391045,NA
Lenticin,NA,3.582845109,NA
